mean,std,range,median,label
349.5609129,386.7814668,1307.976469,235.4052165,1
95.75745721,212.6938288,921.0773205,11.42819616,1
352.3672027,395.6398729,1238.673555,213.6339177,1
313.6216116,385.9372884,1221.530794,55.72738285,1
173.1402993,325.7655315,1190.069663,16.68766454,1
158.8348846,274.1710496,1051.652874,20.6974455,1
286.8749702,319.8286827,1186.137695,219.6858193,1
411.0452059,373.5091175,1294.418865,334.786474,1
516.8088175,375.9527637,1218.293182,555.0526156,1
369.9328788,318.1076058,1265.037885,371.3560426,1
523.4566319,352.0176912,1195.308976,510.2963091,1
404.369207,320.3868789,1213.943066,384.6753933,1
365.8735124,308.1757864,1185.057665,357.9024837,1
404.1568766,345.5423737,1184.094834,409.0493104,1
506.5395749,318.1224745,1205.556498,566.2680816,1
331.354655,366.4922708,1186.436817,219.1671543,1
